"Voltaje","contrast","estimate","SE","df","t.ratio","p.value","Channel","Concentration","Variable","sig"
-80,"Control - Veneno",0.0146067760826215,0.0606586944580686,472.577529372973,0.240802678216537,0.809812486479873,"Nav1.7","2","Corriente",""
-75,"Control - Veneno",-0.00065972736177175,0.0575697331142311,472.577529372973,-0.0114596216811133,0.990861580956166,"Nav1.7","2","Corriente",""
-70,"Control - Veneno",0.00268505121674882,0.0593568936707725,472.577529372973,0.0452357098004768,0.963938539122525,"Nav1.7","2","Corriente",""
-65,"Control - Veneno",0.0247046116356955,0.0581141870381684,472.577529372973,0.425104658514278,0.670953878224689,"Nav1.7","2","Corriente",""
-60,"Control - Veneno",0.0305180947505811,0.0588091592901522,472.577529372973,0.518934382312985,0.60404941859638,"Nav1.7","2","Corriente",""
-55,"Control - Veneno",0.00427482261963042,0.058566513910953,472.577529372973,0.0729909010143585,0.941844240524012,"Nav1.7","2","Corriente",""
-50,"Control - Veneno",-0.0176765840608475,0.0584131253454219,472.577529372973,-0.302613221879814,0.76231778657802,"Nav1.7","2","Corriente",""
-45,"Control - Veneno",0.00504172763788732,0.0588608706661246,472.577529372973,0.0856549959392448,0.931776955130212,"Nav1.7","2","Corriente",""
-40,"Control - Veneno",0.0445157279664483,0.0582080204975028,472.577529372973,0.764769658647954,0.444790435432314,"Nav1.7","2","Corriente",""
-35,"Control - Veneno",0.0142897324998377,0.058955376893612,472.577529372973,0.242382175346351,0.808589198056209,"Nav1.7","2","Corriente",""
-30,"Control - Veneno",-0.132567941886461,0.0582101737518483,472.577529372973,-2.27740158364073,0.0232082058199546,"Nav1.7","2","Corriente","*"
-25,"Control - Veneno",-0.332052568799066,0.0588591720274482,472.577529372973,-5.64147536163468,2.90797749289921e-08,"Nav1.7","2","Corriente","***"
-20,"Control - Veneno",-0.456686868714712,0.0583813786447879,472.577529372973,-7.82247489380731,3.41237654528476e-14,"Nav1.7","2","Corriente","***"
-15,"Control - Veneno",-0.431878012434527,0.0586344317462779,472.577529372973,-7.36560412665622,7.91241560264478e-13,"Nav1.7","2","Corriente","***"
-10,"Control - Veneno",-0.291762867546179,0.0586344317444123,472.577529372973,-4.97596478495732,9.10824238431382e-07,"Nav1.7","2","Corriente","***"
-5,"Control - Veneno",-0.124695157960462,0.0583813786444406,472.577529372973,-2.13587210264238,0.0332031375207203,"Nav1.7","2","Corriente","*"
0,"Control - Veneno",0.0130189948486897,0.0588591720263139,472.577529372973,0.221188888672599,0.825040897513864,"Nav1.7","2","Corriente",""
5,"Control - Veneno",0.119046570629082,0.0582101737519869,472.577529372973,2.04511622205935,0.041396728645432,"Nav1.7","2","Corriente","*"
10,"Control - Veneno",0.202841654688022,0.0589553768950552,472.577529372973,3.44059635220542,0.000631914049779192,"Nav1.7","2","Corriente","***"
15,"Control - Veneno",0.252765993672047,0.0582080204976409,472.577529372973,4.34245987943004,1.72512300719699e-05,"Nav1.7","2","Corriente","***"
20,"Control - Veneno",0.252381745651268,0.0588608706673256,472.577529372973,4.28776779531004,2.18902742963168e-05,"Nav1.7","2","Corriente","***"
25,"Control - Veneno",0.210948061032924,0.0584131253439575,472.577529372973,3.61131269369316,0.00033724532342078,"Nav1.7","2","Corriente","***"
30,"Control - Veneno",0.160828919583756,0.0585665139109081,472.577529372973,2.74609002387287,0.00626110918226621,"Nav1.7","2","Corriente","**"
35,"Control - Veneno",0.12693246844525,0.0588091592883074,472.577529372973,2.15837923856339,0.0314012589386608,"Nav1.7","2","Corriente","*"
40,"Control - Veneno",0.109002095515936,0.0581141870386627,472.577529372973,1.8756537959211,0.0613191009292762,"Nav1.7","2","Corriente",""
45,"Control - Veneno",0.094151604650492,0.0593568936724022,472.577529372973,1.58619494426588,0.113363955699473,"Nav1.7","2","Corriente",""
50,"Control - Veneno",0.0773028015128836,0.0575697331143995,472.577529372973,1.34276810627681,0.179991655543046,"Nav1.7","2","Corriente",""
55,"Control - Veneno",0.0644576580041109,0.0606586944591434,472.577529372973,1.0626285082269,0.288493158771008,"Nav1.7","2","Corriente",""
60,"Control - Veneno",0.0612658967113757,0.057904011240456,472.577529372973,1.05805963004806,0.29056878351735,"Nav1.7","2","Corriente",""
65,"Control - Veneno",0.065306818899342,0.0746125341023878,472.577529372973,0.875279464569908,0.381866501051205,"Nav1.7","2","Corriente",""
-90,"Control - Veneno",-0.0111026611723275,0.0404774485146824,270.020427571938,-0.274292515455866,0.784069560850329,"Nav1.7","2","Var1",""
-85,"Control - Veneno",-0.00926110258047349,0.0347653662437581,270.020427571938,-0.266388753552575,0.790143132328038,"Nav1.7","2","Var1",""
-80,"Control - Veneno",-0.00826606121281591,0.0335320898095171,270.020427571938,-0.246511960923767,0.805473245410222,"Nav1.7","2","Var1",""
-75,"Control - Veneno",-0.0113160120655471,0.03321609590509,270.020427571938,-0.340678570349776,0.733610479590603,"Nav1.7","2","Var1",""
-70,"Control - Veneno",-0.0119511252039755,0.0335179082896462,270.020427571938,-0.35655939805967,0.721700136388797,"Nav1.7","2","Var1",""
-65,"Control - Veneno",-0.0114376396967068,0.0336743213001914,270.020427571938,-0.339654646481078,0.734380657640282,"Nav1.7","2","Var1",""
-60,"Control - Veneno",-0.0123196821158966,0.0334761103564398,270.020427571938,-0.368014144556274,0.713151008019381,"Nav1.7","2","Var1",""
-55,"Control - Veneno",-0.0094689171826262,0.033332818485173,270.020427571938,-0.284071903095687,0.776572988150782,"Nav1.7","2","Var1",""
-50,"Control - Veneno",-0.00956897150320667,0.0334901249731265,270.020427571938,-0.285725165578961,0.775307692865114,"Nav1.7","2","Var1",""
-45,"Control - Veneno",-0.013351435586614,0.0336316803821714,270.020427571938,-0.39698984513696,0.691688544337784,"Nav1.7","2","Var1",""
-40,"Control - Veneno",-0.0197308449218958,0.0334901249731225,270.020427571938,-0.589154114466005,0.556250465693657,"Nav1.7","2","Var1",""
-35,"Control - Veneno",-0.0290205834439431,0.0333328184851754,270.020427571938,-0.870630950600528,0.384729040981666,"Nav1.7","2","Var1",""
-30,"Control - Veneno",0.0023822131877346,0.03347611035644,270.020427571938,0.0711615884393307,0.94332182879536,"Nav1.7","2","Var1",""
-25,"Control - Veneno",0.0881412634701594,0.0336743213001888,270.020427571938,2.61746221057958,0.00935825400221714,"Nav1.7","2","Var1","**"
-20,"Control - Veneno",0.141331528382421,0.0335179082896489,270.020427571938,4.21659750247801,3.38721485282843e-05,"Nav1.7","2","Var1","***"
-15,"Control - Veneno",0.117380583240178,0.0332160959050877,270.020427571938,3.53384646936183,0.000481650256613152,"Nav1.7","2","Var1","***"
-10,"Control - Veneno",0.0782127579464602,0.033532089809513,270.020427571938,2.3324749036152,0.0204108532823496,"Nav1.7","2","Var1","*"
-5,"Control - Veneno",0.057934493943137,0.0347653662437671,270.020427571938,1.66644279070478,0.0967847774024812,"Nav1.7","2","Var1",""
0,"Control - Veneno",0.0362621082579954,0.0404774485146847,270.020427571938,0.89585953632527,0.371125724002936,"Nav1.7","2","Var1",""
-90,"Control - Veneno",-0.00535819972791974,0.0361291823062559,272.838567485307,-0.148306697962327,0.882210277664613,"Nav1.7","2","Var2",""
-85,"Control - Veneno",0.00747121294034467,0.03305970274689,272.838567485307,0.225991534090472,0.821377205226387,"Nav1.7","2","Var2",""
-80,"Control - Veneno",0.0221974911264457,0.032958389194174,272.838567485307,0.673500485587127,0.501199058768896,"Nav1.7","2","Var2",""
-75,"Control - Veneno",0.0301650166828664,0.0328314688742222,272.838567485307,0.918783646215434,0.359020277938395,"Nav1.7","2","Var2",""
-70,"Control - Veneno",0.0240275529397369,0.0328373153387221,272.838567485307,0.731714900925636,0.464970607102975,"Nav1.7","2","Var2",""
-65,"Control - Veneno",0.00785644677178807,0.0328535419297666,272.838567485307,0.239135457253996,0.81118008095405,"Nav1.7","2","Var2",""
-60,"Control - Veneno",-0.00684607705690857,0.0328284606863131,272.838567485307,-0.20854090974064,0.834962241265659,"Nav1.7","2","Var2",""
-55,"Control - Veneno",-0.0130523733806453,0.0328106884782554,272.838567485307,-0.397808579643049,0.691082363936605,"Nav1.7","2","Var2",""
-50,"Control - Veneno",-0.0169144746588206,0.0328303241079556,272.838567485307,-0.515208884420419,0.606824227596173,"Nav1.7","2","Var2",""
-45,"Control - Veneno",-0.027469251847558,0.0328479948561994,272.838567485307,-0.836253535955902,0.403744072824099,"Nav1.7","2","Var2",""
-40,"Control - Veneno",-0.0470444845414647,0.032830324107955,272.838567485307,-1.4329582731736,0.153014583857981,"Nav1.7","2","Var2",""
-35,"Control - Veneno",-0.0752141902943883,0.0328106884782557,272.838567485307,-2.29236854765282,0.0226457857021355,"Nav1.7","2","Var2","*"
-30,"Control - Veneno",-0.103794770009732,0.0328284606863132,272.838567485307,-3.161731249038,0.00174526588918107,"Nav1.7","2","Var2","**"
-25,"Control - Veneno",-0.117562999973194,0.0328535419297663,272.838567485307,-3.5783965158009,0.000408983130690872,"Nav1.7","2","Var2","***"
-20,"Control - Veneno",-0.1147382428946,0.0328373153387224,272.838567485307,-3.49414200616147,0.000554760957669962,"Nav1.7","2","Var2","***"
-15,"Control - Veneno",-0.109272413434002,0.0328314688742219,272.838567485307,-3.32828280856478,0.000994014705982172,"Nav1.7","2","Var2","***"
-10,"Control - Veneno",-0.110449261660927,0.0329583891941737,272.838567485307,-3.35117292930238,0.000918372528978318,"Nav1.7","2","Var2","***"
-5,"Control - Veneno",-0.116396089083005,0.0330597027468913,272.838567485307,-3.52078450233344,0.00050409221633182,"Nav1.7","2","Var2","***"
0,"Control - Veneno",-0.123255118444494,0.0361291823062567,272.838567485307,-3.41151143138794,0.000743900148466928,"Nav1.7","2","Var2","***"
