"Voltaje","Trat","emmean","SE","df","lower.CL","upper.CL","Channel","Concentration","Variable"
-55,"Veneno",-0.94653398484753,0.409839154677171,475.307903190399,-1.75185461295688,-0.141213356738179,"BgNav1","1","Corriente"
-50,"Control",-3.03162391178355,0.410542423931042,475.307903190399,-3.83832644113585,-2.22492138243125,"BgNav1","1","Corriente"
-50,"Veneno",-2.58840977528983,0.409208376088844,475.307903190399,-3.39249094395966,-1.78432860662,"BgNav1","1","Corriente"
-45,"Control",-4.87037787044938,0.412190543913119,475.307903190399,-5.68031890203851,-4.06043683886024,"BgNav1","1","Corriente"
-45,"Veneno",-4.45294993376955,0.410755253881552,475.307903190399,-5.26007066706227,-3.64582920047683,"BgNav1","1","Corriente"
-40,"Control",-6.05694348637356,0.409871182153298,475.307903190399,-6.8623270474333,-5.25155992531381,"BgNav1","1","Corriente"
-40,"Veneno",-5.87586291340774,0.408582950228811,475.307903190399,-6.6787151405753,-5.07301068624018,"BgNav1","1","Corriente"
-35,"Control",-6.34530827148771,0.41249372346759,475.307903190399,-7.15584504105466,-5.53477150192075,"BgNav1","1","Corriente"
-35,"Veneno",-6.4830142672194,0.411037228589901,475.307903190399,-7.29068907165601,-5.6753394627828,"BgNav1","1","Corriente"
-30,"Control",-5.98622977894314,0.409899010826844,475.307903190399,-6.79166802244257,-5.1807915354437,"BgNav1","1","Corriente"
-30,"Veneno",-6.36550413779612,0.408610184133363,475.307903190399,-7.16840987870162,-5.56259839689062,"BgNav1","1","Corriente"
-25,"Control",-5.38695226418364,0.412149123021542,475.307903190399,-6.1968119050661,-4.57709262330117,"BgNav1","1","Corriente"
-25,"Veneno",-5.87348830530651,0.410714316275054,475.307903190399,-6.68052859753204,-5.06644801308098,"BgNav1","1","Corriente"
-20,"Control",-4.78542587207929,0.410495940798262,475.307903190399,-5.59203706358536,-3.97881468057321,"BgNav1","1","Corriente"
-20,"Veneno",-5.29780443058153,0.409168580050618,475.307903190399,-6.10180740132875,-4.49380145983431,"BgNav1","1","Corriente"
-15,"Control",-4.209299137952,0.411369723581029,475.307903190399,-5.01762728424734,-3.40097099165667,"BgNav1","1","Corriente"
-15,"Veneno",-4.73611616914755,0.409985470671315,475.307903190399,-5.54172430343332,-3.93050803486178,"BgNav1","1","Corriente"
-10,"Control",-3.62443029064967,0.41136972357422,475.307903190399,-4.43275843693163,-2.81610214436772,"BgNav1","1","Corriente"
-10,"Veneno",-4.17604999623915,0.40998547066492,475.307903190399,-4.98165813051235,-3.37044186196595,"BgNav1","1","Corriente"
-5,"Control",-3.03741962700761,0.410495940796977,475.307903190399,-3.84403081851116,-2.23080843550406,"BgNav1","1","Corriente"
-5,"Veneno",-3.61569608999899,0.409168580049426,475.307903190399,-4.41969906074387,-2.81169311925412,"BgNav1","1","Corriente"
0,"Control",-2.47708310405111,0.41214912301738,475.307903190399,-3.2869427449254,-1.66722346317683,"BgNav1","1","Corriente"
0,"Veneno",-3.08451974696626,0.410714316271141,475.307903190399,-3.8915600391841,-2.27747945474842,"BgNav1","1","Corriente"
5,"Control",-1.95212805481659,0.409899010827341,475.307903190399,-2.75756629831701,-1.14668981131618,"BgNav1","1","Corriente"
5,"Veneno",-2.59683009010993,0.408610184133827,475.307903190399,-3.39973583101634,-1.79392434920352,"BgNav1","1","Corriente"
10,"Control",-1.46149172009931,0.412493723472898,475.307903190399,-2.27202848967669,-0.650954950521929,"BgNav1","1","Corriente"
10,"Veneno",-2.13544833429641,0.41103722859489,475.307903190399,-2.94312313874281,-1.32777352985,"BgNav1","1","Corriente"
15,"Control",-1.02175972383689,0.40987118215384,475.307903190399,-1.8271432848977,-0.21637616277608,"BgNav1","1","Corriente"
