Canal,Tratamiento,Concentracion,Celula,Voltaje,Corriente,Var1,Var2
Nav1.2,Control,2,2,-10,-1.266270995,0.8895364501,0.01921086547
Nav1.2,Control,2,2,-5,-0.940612793,0.7708904974,0.007943386408
Nav1.2,Control,2,2,0,-0.5861053467,0.5764157582,0
Nav1.2,Control,2,2,5,-0.2653249204,,
Nav1.2,Control,2,2,10,-0.08075968176,,
Nav1.2,Control,2,2,15,-0.06381225586,,
Nav1.2,Control,2,2,20,-0.04571024328,,
Nav1.2,Control,2,2,25,-0.005528768525,,
Nav1.2,Control,2,2,30,0.06758625805,,
Nav1.2,Control,2,2,35,0.09780374914,,
Nav1.2,Control,2,2,40,0.08153788745,,
Nav1.2,Control,2,2,45,-0.01600138471,,
Nav1.2,Control,2,2,50,0.01477050781,,
Nav1.2,Control,2,2,55,0.09366353601,,
Nav1.2,Control,2,2,60,0.1712239534,,
Nav1.2,Control,2,2,65,0.2807668149,,
Nav1.2,Veneno,2,2,-90,-0.008816927671,0.001655049666,1
Nav1.2,Veneno,2,2,-85,0.05535623431,-0.01085085239,0.9827728893
Nav1.2,Veneno,2,2,-80,0.01986959577,-0.004075125954,0.966463962
Nav1.2,Veneno,2,2,-75,0.02504432201,-0.005385770146,0.9831512291
Nav1.2,Veneno,2,2,-70,-0.01898060739,0.004290024678,0.9773172297
Nav1.2,Veneno,2,2,-65,-0.06924173236,0.01649152193,0.9659746032
Nav1.2,Veneno,2,2,-60,-0.08978801966,0.02260015829,0.92981537
Nav1.2,Veneno,2,2,-55,-0.08170749992,0.02180517568,0.8756774896
Nav1.2,Veneno,2,2,-50,-0.1019817814,0.02896034635,0.7566290948
Nav1.2,Veneno,2,2,-45,-0.04420404881,0.01341266105,0.5123250501
Nav1.2,Veneno,2,2,-40,0.06989188492,-0.02276636009,0.3717919807
Nav1.2,Veneno,2,2,-35,-0.01831054688,0.006437785852,0.2134265162
Nav1.2,Veneno,2,2,-30,-0.5253335834,0.2006240216,0.05891255054
Nav1.2,Veneno,2,2,-25,-1.649209738,0.6892484228,0.008681641715
Nav1.2,Veneno,2,2,-20,-1.94386363,0.8970162631,-0.01357735106
Nav1.2,Veneno,2,2,-15,-1.903460979,0.9805083194,-0.01421044209
Nav1.2,Veneno,2,2,-10,-1.693699002,0.987252848,-0.02723541707
Nav1.2,Veneno,2,2,-5,-1.489835024,1,-0.03662581038
Nav1.2,Veneno,2,2,0,-1.211156368,0.9581156761,0
Nav1.2,Veneno,2,2,5,-0.9239727259,,
Nav1.2,Veneno,2,2,10,-0.658277452,,
Nav1.2,Veneno,2,2,15,-0.4146609008,,
Nav1.2,Veneno,2,2,20,-0.248393178,,
Nav1.2,Veneno,2,2,25,-0.1285121739,,
Nav1.2,Veneno,2,2,30,0.09030549228,,
Nav1.2,Veneno,2,2,35,0.2586629987,,
Nav1.2,Veneno,2,2,40,0.2853327394,,
Nav1.2,Veneno,2,2,45,0.3078095913,,
Nav1.2,Veneno,2,2,50,0.3010293841,,
Nav1.2,Veneno,2,2,55,0.2777033448,,
Nav1.2,Veneno,2,2,60,0.2672742605,,
Nav1.2,Veneno,2,2,65,0.2884574533,,
Nav1.2,Control,2,3,-90,-0.1311698258,0.01913754471,0.9883710114
Nav1.2,Control,2,3,-85,-0.1302220225,0.01970293751,0.9973035305
Nav1.2,Control,2,3,-80,-0.1151070222,0.01808584393,1
Nav1.2,Control,2,3,-75,-0.08749154955,0.01429671986,0.9965721912
Nav1.2,Control,2,3,-70,-0.01797895879,0.003060297186,0.9848493021
Nav1.2,Control,2,3,-65,-0.01514141262,0.002689359537,0.9517217151
Nav1.2,Control,2,3,-60,-0.02012693137,0.003737362234,0.8398364591
Nav1.2,Control,2,3,-55,-0.06744384766,0.0131199854,0.6827488592
Nav1.2,Control,2,3,-50,-0.07241468877,0.01479132163,0.4835376487
Nav1.2,Control,2,3,-45,-0.1451961845,0.03121849129,0.343645856
Nav1.2,Control,2,3,-40,-3.294560432,0.7477136017,0.2144322989
Nav1.2,Control,2,3,-35,-3.868252754,0.9295574371,0.1422487752
Nav1.2,Control,2,3,-30,-3.859390736,0.9853920977,0.1118852809
Nav1.2,Control,2,3,-25,-3.671816349,1,0.08258435571
Nav1.2,Control,2,3,-20,-3.376646757,0.9852986825,0.05646012813
Nav1.2,Control,2,3,-15,-3.042602539,0.956119507,0.0328667664
Nav1.2,Control,2,3,-10,-2.685834408,0.9143412117,0.01985226168
Nav1.2,Control,2,3,-5,-2.313405514,0.8591507806,0.007174469119
Nav1.2,Control,2,3,0,-1.98266542,0.8099528535,0
Nav1.2,Control,2,3,5,-1.610641479,,
Nav1.2,Control,2,3,10,-1.244627118,,
Nav1.2,Control,2,3,15,-0.9244126678,,
Nav1.2,Control,2,3,20,-0.6939697266,,
Nav1.2,Control,2,3,25,-0.4796776474,,
Nav1.2,Control,2,3,30,-0.2866539657,,
Nav1.2,Control,2,3,35,-0.09745670855,,
Nav1.2,Control,2,3,40,-0.01742142811,,
Nav1.2,Control,2,3,45,0.02784142271,,
Nav1.2,Control,2,3,50,0.06886995584,,
Nav1.2,Control,2,3,55,0.1257999092,,
Nav1.2,Control,2,3,60,0.1556924582,,
Nav1.2,Control,2,3,65,0.1607396007,,
Nav1.2,Veneno,2,3,-90,-0.1384110153,0.01967572171,0.9796249073
Nav1.2,Veneno,2,3,-85,-0.158328265,0.02334063874,0.9764017417
Nav1.2,Veneno,2,3,-80,-0.1588175297,0.02431325679,1
Nav1.2,Veneno,2,3,-75,-0.1514503807,0.02411284248,0.9909612423
Nav1.2,Veneno,2,3,-70,-0.1336241066,0.02216111571,0.9758410849
Nav1.2,Veneno,2,3,-65,-0.1147334576,0.01985547558,0.9495952973
Nav1.2,Veneno,2,3,-60,-0.1246933788,0.02255998262,0.9277390036
Nav1.2,Veneno,2,3,-55,-0.1380555928,0.02616692916,0.8570670445
